[00:42:25] INFO: Preparing experiment with config: 42
[00:42:25] INFO: Starting batch experiment (30 runs)...
[00:42:25] INFO: Running SecLEACH - Run 1/30
[00:44:04] INFO: Running SecLEACH - Run 2/30
[00:45:51] INFO: Running SecLEACH - Run 3/30
[00:47:32] INFO: Running SecLEACH - Run 4/30
[00:49:10] INFO: Running SecLEACH - Run 5/30
[00:50:45] INFO: Running SecLEACH - Run 6/30
[00:52:22] INFO: Running SecLEACH - Run 7/30
[00:54:00] INFO: Running SecLEACH - Run 8/30
[00:55:36] INFO: Running SecLEACH - Run 9/30
[00:57:31] INFO: Running SecLEACH - Run 10/30
[00:59:13] INFO: Running SecLEACH - Run 11/30
[01:00:54] INFO: Running SecLEACH - Run 12/30
[01:02:23] INFO: Running SecLEACH - Run 13/30
[01:04:00] INFO: Running SecLEACH - Run 14/30
[01:05:38] INFO: Running SecLEACH - Run 15/30
[01:07:13] INFO: Running SecLEACH - Run 16/30
[01:09:03] INFO: Running SecLEACH - Run 17/30
[01:10:44] INFO: Running SecLEACH - Run 18/30
[01:12:23] INFO: Running SecLEACH - Run 19/30
[01:13:57] INFO: Running SecLEACH - Run 20/30
[01:15:28] INFO: Running SecLEACH - Run 21/30
[01:17:03] INFO: Running SecLEACH - Run 22/30
[01:18:35] INFO: Running SecLEACH - Run 23/30
[01:20:26] INFO: Running SecLEACH - Run 24/30
[01:22:05] INFO: Running SecLEACH - Run 25/30
[01:23:39] INFO: Running SecLEACH - Run 26/30
[01:25:11] INFO: Running SecLEACH - Run 27/30
[01:27:01] INFO: Running SecLEACH - Run 28/30
[01:28:33] INFO: Running SecLEACH - Run 29/30
[01:30:04] INFO: Running SecLEACH - Run 30/30
[01:31:36] INFO: Running MSCR - Run 1/30
[01:33:04] INFO: Running MSCR - Run 2/30
[01:34:37] INFO: Running MSCR - Run 3/30
[01:36:07] INFO: Running MSCR - Run 4/30
[01:37:34] INFO: Running MSCR - Run 5/30
[01:38:59] INFO: Running MSCR - Run 6/30
[01:40:23] INFO: Running MSCR - Run 7/30
[01:41:49] INFO: Running MSCR - Run 8/30
[01:43:16] INFO: Running MSCR - Run 9/30
[01:45:00] INFO: Running MSCR - Run 10/30
[01:46:32] INFO: Running MSCR - Run 11/30
[01:48:04] INFO: Running MSCR - Run 12/30
[01:49:26] INFO: Running MSCR - Run 13/30
[01:50:56] INFO: Running MSCR - Run 14/30
[01:52:23] INFO: Running MSCR - Run 15/30
[01:53:49] INFO: Running MSCR - Run 16/30
[01:55:26] INFO: Running MSCR - Run 17/30
[01:56:53] INFO: Running MSCR - Run 18/30
[01:58:20] INFO: Running MSCR - Run 19/30
[01:59:44] INFO: Running MSCR - Run 20/30
[02:01:06] INFO: Running MSCR - Run 21/30
[02:02:29] INFO: Running MSCR - Run 22/30
[02:03:50] INFO: Running MSCR - Run 23/30
[02:05:30] INFO: Running MSCR - Run 24/30
[02:06:59] INFO: Running MSCR - Run 25/30
[02:08:25] INFO: Running MSCR - Run 26/30
